LandmarkID,step01,step01B,step02,step02B,step02C,Step03,step03B,step03C,step04,step04B,theta
Col01in,4335,4737,5061,5439,5816,6167,6505,6798,7139,7453,
Col02in,4323,4727,5052,5429,5808,6159,6498,6793,7131,7448,43.14119936658835
Col03in,4310,4717,5044,5418,5801,6152,6492,6786,7123,7442,33.104984948416565
Col04in,4298,4707,5036,5407,5791,6141,6484,6782,7076,7437,23.12318695507516
Col05in,4286,4697,5029,5397,5779,6132,6473,6773,7069,7432,13.099571670648839
Col06in,4274,4687,5021,5387,5772,6121,6465,6764,7062,7427,3.049895994021115
Col07in,4261,4677,5014,5375,5761,6113,6455,6759,7054,7421,-6.986255050575122
Col08in,4249,4667,5007,5364,5751,6103,6448,6752,7047,7416,-17.051510808776747
Col09in,4236,4656,5001,5351,5742,6099,6439,6745,7040,7411,-26.94229281510311
Col10in,4221,4646,4993,5340,5732,6090,6431,6738,7034,7405,-36.96357683958674
Col11in,4208,4636,4985,5329,5719,6080,6422,6731,7026,7401,-47.012943081156166
Col12in,4195,4626,4978,5317,5705,6071,6415,6724,7018,7396,-57.12282850431239
Col13in,4182,4616,4970,5306,5692,6062,6403,6718,7012,7390,-67.03810436157805
Col14in,4169,4605,4963,5295,5683,6051,6395,6711,7005,7385,-76.99575113821706
Col15in,4151,4596,4955,5285,5676,6041,6385,6705,6997,7380,-86.91267564893829
Col16in,4135,4586,4947,5275,5668,6032,6378,6698,6990,7374,-96.8336242713809
Col17in,4121,4578,4939,5265,5660,6024,6365,6690,6983,7368,-106.86837540278559
Col18in,4101,4563,4932,5255,5656,6015,6356,6681,6975,7364,-116.7357815092236
Col19in,4080,4553,4924,5246,5646,6005,6346,6671,6966,7555,-126.78846530633636
Col20in,4051,4541,4916,5237,5639,5995,6335,6662,6956,7544,-136.755326400497
Col21in,4033,4531,4908,5229,5633,5988,6329,6650,6947,7538,-146.7892483060959
Col22in,4014,4521,4900,5221,5627,5979,6319,6640,6937,7533,-156.9252191268247
Col23in,4501,4511,4891,5213,5620,5968,6311,6629,6931,7527,-166.96656162912214
Col24in,4491,4857,5184,5583,5925,6278,6602,6883,7300,7522,-177.0086542007478
Col25in,4482,4846,5175,5572,5916,6269,6596,6876,7291,7517,173.04080513370982
Col26in,4471,4836,5167,5560,5908,6259,6592,6871,7262,7511,163.02923978936397
Col27in,4461,4826,5157,5549,5900,6252,6585,6865,7254,7506,153.018342640877
Col28in,4450,4816,5140,5538,5892,6243,6577,6859,7246,7501,142.91103450206185
Col29in,4439,4806,5132,5527,5883,6234,6570,6852,7237,7496,133.1771303066535
Col30in,4429,4797,5123,5517,5874,6228,6563,6844,7230,7490,123.15928719297204
Col31in,4420,4788,5114,5502,5866,6219,6552,6835,7188,7485,113.15945055506106
Col32in,4391,4779,5105,5488,5857,6211,6544,6828,7180,7480,103.15305158639336
Col33in,4380,4771,5096,5478,5849,6202,6535,6823,7171,7474,93.18241629002117
Col34in,4370,4763,5088,5470,5841,6191,6525,6814,7163,7469,83.05833949219549
Col35in,4359,4755,5079,5460,5833,6185,6519,6809,7155,7464,73.10025582460767
Col36in,4348,4747,5070,5449,5823,6177,6512,6804,7147,7458,63.1601242674383
